Aspect Ratio,Audio Jack,Chipset,Internal Memory,RAM,Resolution,Bezel-less display,Colours,FM Radio,Fingerprint Sensor Position,Flash,GPS,NFC,Other Sensors,Physical Aperture,Quick Charging,Screen Protection,Sensor,User Replaceable,VoLTE,Graphics,Image Resolution,Network Support,Optical Image Stabilisation,Pixel Density,Processor,Screen Size,Screen to Body Ratio (calculated),Settings,Shooting Modes,USB Connectivity,Height,Width,Review Count,Rating Count,Bluetooth,Touch Screen,Thickness,Weight,Wi-Fi Features,Capacity
6,0,1,4,2,1,0,4,1,4,1,2,0,4,2,0,6,8,0,1,2,4,3,2,2,0,5.84,79.07,1,2,1,149.2,71.8,9949,96143,3,2,7.7,152.0,0,3000
6,0,4,7,3,6,0,3,1,4,1,2,0,5,2,0,0,2,0,1,0,5,3,2,2,0,6.3,84.87,1,2,2,154.81,75.03,10615,78686,3,2,7.89,150.0,0,3260
6,0,3,4,3,5,0,2,1,4,1,2,0,5,0,0,6,8,0,1,4,4,3,2,1,0,6.22,82.6,1,2,2,155.1,75.0,10,11,4,1,8.2,163.5,0,4030
6,0,4,7,3,1,0,3,1,4,1,2,0,5,2,1,1,8,0,1,0,5,3,2,2,0,5.8,80.05,1,2,0,147.2,70.9,16415,112997,4,2,7.9,151.0,0,3060
2,0,4,7,3,3,0,3,1,4,1,2,1,5,2,1,1,7,0,1,0,3,3,3,2,0,6.18,82.03,0,4,0,154.8,75.7,183,181,4,2,7.9,180.0,0,3500
6,0,4,7,3,3,0,2,1,4,1,2,0,5,2,0,0,8,0,1,0,4,3,2,1,0,6.22,82.6,1,2,1,155.1,75.0,230,1787,3,2,8.2,163.5,0,4030
5,0,1,7,3,1,0,3,1,4,1,2,0,5,2,1,6,1,0,1,2,5,3,2,2,0,6.3,82.98,1,2,0,157.9,74.2,3747,3744,3,2,7.4,176.0,0,3750
6,0,4,4,2,5,0,2,1,4,1,2,0,5,2,0,6,8,0,1,0,4,3,2,1,0,6.26,80.64,1,2,1,158.4,76.2,823,5841,3,2,7.7,160.0,2,4000
6,0,4,7,3,1,0,2,1,4,1,2,0,4,2,0,0,2,0,1,0,4,3,2,1,0,6.2,81.22,1,2,2,155.9,75.4,41,215,3,2,8.1,168.0,0,4230
6,0,4,7,4,3,0,4,1,4,1,2,0,5,2,1,0,4,0,1,0,3,3,2,2,0,6.26,80.68,1,3,1,157.9,76.4,3147,28649,4,2,8.2,182.0,2,4000
6,0,3,2,1,4,0,2,1,2,1,2,0,5,3,0,6,8,0,1,4,4,3,2,1,1,6.22,82.66,0,2,1,155.0,75.0,7,75,4,2,7.7,143.0,0,3260
6,0,3,4,2,5,0,3,1,4,1,2,0,5,3,1,6,8,0,1,2,4,3,2,1,0,5.86,79.34,1,2,0,149.5,71.9,10263,69060,3,2,8.0,151.0,0,3060
1,0,4,4,1,4,0,3,1,2,1,2,0,3,3,0,6,8,0,1,0,4,3,1,1,1,6.0,73.94,1,2,1,161.4,76.9,119,647,3,2,7.9,178.0,2,3300
3,0,4,7,3,1,0,5,1,4,1,2,0,5,2,0,6,8,0,1,0,3,3,2,1,0,5.99,74.64,1,2,1,160.7,77.2,18880,21775,3,2,8.1,170.0,2,3080
1,0,4,1,4,6,0,3,1,4,0,2,1,4,2,1,6,8,0,1,0,6,3,1,2,0,6.3,80.86,1,2,0,162.5,77.0,59,222,4,2,7.8,183.0,0,3800
4,0,4,1,5,5,0,1,1,3,1,2,0,5,2,1,6,7,0,1,0,3,3,3,2,0,6.59,86.47,1,2,0,162.0,77.0,531,529,4,2,7.9,199.0,0,4000
6,0,4,7,3,0,0,2,1,4,1,2,0,5,2,1,4,7,0,1,0,3,3,2,2,0,6.26,81.64,1,2,1,157.9,75.5,2258,11151,4,2,8.5,175.0,2,5000
5,2,1,1,4,6,0,5,1,3,1,2,1,6,2,1,6,8,0,1,2,6,3,2,3,0,6.39,87.66,1,2,0,157.8,72.3,111,108,4,2,8.6,189.0,0,4200
6,0,4,4,3,5,0,2,1,4,1,2,0,5,2,0,6,8,0,1,0,4,3,2,1,0,6.26,80.8,1,2,1,158.7,75.9,133,130,3,2,7.9,167.0,0,4000
3,0,4,4,2,5,0,3,1,4,1,2,0,5,2,0,6,3,0,1,0,4,3,2,1,0,5.7,75.36,1,2,1,152.4,73.0,22189,209619,3,2,7.8,150.0,0,3000
3,0,4,7,4,1,0,3,1,4,1,2,0,5,2,1,6,8,0,1,0,5,3,2,2,0,5.99,76.62,1,2,1,159.0,76.0,19894,118441,4,2,8.4,180.0,2,5000
3,0,4,2,1,4,0,2,1,2,1,2,0,4,4,0,6,8,0,1,0,4,3,2,1,0,5.45,72.63,1,2,1,147.2,71.7,3770,27405,3,2,8.1,140.0,2,3000
3,0,4,4,2,1,0,5,1,4,1,2,0,5,2,0,6,8,0,1,0,3,3,2,1,0,5.99,74.64,1,2,1,160.7,77.2,18719,19835,3,2,8.1,170.0,2,3080
6,0,4,7,4,1,0,2,1,4,1,2,0,5,2,0,6,8,0,1,0,4,3,2,2,0,6.3,84.91,1,4,1,154.8,75.0,893,890,3,2,7.8,150.0,0,3260
1,0,4,7,3,5,0,3,1,5,1,2,0,4,1,0,6,8,0,1,0,4,3,1,1,1,6.0,73.94,1,2,1,161.4,76.9,306,1391,3,2,7.9,178.0,2,3300
6,0,3,7,3,6,0,3,1,4,1,1,0,5,2,0,3,3,0,1,2,5,3,2,2,0,6.23,82.06,1,2,1,156.0,75.3,2459,11208,3,2,7.8,158.0,2,3400
5,0,1,1,3,6,0,2,1,4,1,2,0,5,2,0,6,8,0,1,2,5,3,2,2,0,6.3,82.03,1,2,2,157.6,75.2,2397,2394,3,2,7.6,169.0,0,3340
3,0,3,7,3,0,0,2,1,4,1,1,0,5,2,1,1,10,0,1,2,4,3,1,2,2,5.5,70.95,1,2,1,154.5,75.9,16020,32050,3,2,8.5,180.0,2,4000
5,0,3,7,3,6,0,3,1,4,1,2,0,3,2,0,1,4,0,1,2,4,3,1,2,0,6.3,83.68,1,2,1,157.0,74.0,1151,1149,3,2,8.0,168.0,0,3500
1,0,5,7,4,5,0,5,0,4,1,2,1,7,5,1,3,3,0,1,2,3,3,3,3,0,6.2,83.99,0,2,0,158.1,73.8,721,3039,4,2,8.5,189.0,2,3500
3,0,1,4,2,0,0,3,1,4,1,1,0,5,2,0,6,2,0,1,2,4,3,2,2,0,5.65,75.88,1,2,1,151.0,71.9,61028,385739,3,2,7.6,149.0,2,3000
3,1,0,7,2,6,0,2,0,2,1,2,1,6,3,1,7,0,0,1,1,3,3,0,3,2,5.8,80.93,1,3,2,143.6,70.9,1444,5220,4,0,7.7,174.0,0,2716
3,0,4,2,1,4,0,4,1,2,1,2,0,5,2,0,6,10,0,1,0,4,3,1,1,1,5.0,69.86,1,3,1,140.4,70.1,152219,1144467,2,2,8.3,137.0,2,3000
3,0,4,4,2,5,0,2,1,4,1,2,0,4,2,1,6,8,0,1,0,4,3,2,1,0,5.45,73.4,1,2,1,147.3,70.9,5457,37741,1,2,8.7,150.0,2,4000
3,0,6,5,5,6,0,1,0,2,0,1,1,1,2,0,6,8,1,1,2,0,3,1,0,2,2.4,71.0,1,2,2,149.0,73.0,2041,9444,2,4,7.7,149.0,0,2000
6,0,3,4,3,5,0,3,1,4,1,1,0,4,3,0,1,8,0,1,4,4,3,2,1,0,6.22,82.33,1,2,1,155.2,75.2,2383,9762,4,2,7.7,151.0,0,3260
3,0,4,4,2,5,0,3,1,4,1,2,0,4,2,0,6,8,0,1,0,4,3,2,1,0,5.99,76.26,1,2,1,158.3,76.7,5550,5858,3,2,7.8,164.0,2,3000
1,0,5,7,3,5,0,2,1,4,1,2,0,2,1,0,6,8,0,1,2,4,3,1,1,0,5.6,76.28,1,2,1,149.3,70.2,6629,64805,3,2,8.2,154.0,2,3000
3,0,4,7,3,6,0,4,1,4,1,2,0,5,2,0,1,8,0,1,0,5,3,1,1,0,5.99,78.51,1,2,1,155.8,75.7,3795,17019,3,2,7.7,160.0,0,3225
3,2,4,1,4,3,0,5,1,4,1,2,0,5,3,1,3,4,0,1,0,3,3,2,2,0,5.99,77.38,1,3,0,158.7,75.4,7518,7515,4,2,7.3,168.0,2,3010
3,0,3,2,1,5,0,2,1,4,1,1,0,3,3,0,6,8,0,1,4,4,3,2,1,1,5.45,73.75,1,2,1,146.8,70.8,660,4803,3,2,9.8,160.0,0,4000
6,0,4,7,4,1,0,3,0,4,1,2,1,5,2,1,3,4,0,1,0,5,3,3,2,0,6.28,83.55,1,2,0,155.7,75.3,22619,22617,4,2,7.7,177.0,2,3300
3,0,3,2,0,4,0,2,1,2,1,1,0,3,2,1,0,8,1,1,4,2,3,2,1,1,5.45,74.53,0,2,1,146.5,70.2,346,833,1,1,8.7,139.0,0,3000
5,2,4,3,5,6,0,2,0,2,1,2,0,4,2,1,3,4,0,1,0,5,3,3,2,0,6.4,86.29,1,2,0,156.7,74.2,93,386,4,2,9.6,186.0,0,3730
3,0,4,2,2,4,0,2,1,2,1,2,0,5,3,0,0,8,0,1,0,4,3,2,1,1,6.0,78.62,1,2,1,155.9,75.8,703,3502,3,2,7.8,150.0,0,3360
3,0,4,5,5,2,0,3,1,2,1,1,0,1,2,0,6,8,1,1,0,0,3,1,0,2,2.45,28.26,1,2,3,133.4,49.3,104,222,2,2,14.9,117.0,0,1500
6,0,4,1,5,6,0,2,1,3,1,2,0,5,2,1,4,4,0,1,0,5,3,2,2,0,6.4,85.05,1,2,0,157.5,74.9,17,16,4,2,7.5,182.0,0,3500
6,0,3,7,3,5,0,3,1,4,1,2,0,5,3,0,1,8,0,1,4,4,3,2,1,0,6.22,82.33,1,2,1,155.2,75.2,420,2286,4,2,7.7,152.0,0,3260
3,0,4,2,1,4,0,4,1,4,1,2,0,4,3,0,6,10,0,1,0,3,3,2,1,0,5.7,75.87,1,3,1,151.8,72.8,16020,17221,3,2,7.7,157.0,2,3300
3,0,3,4,1,4,0,4,1,2,1,2,0,4,3,0,6,8,0,1,4,4,3,2,1,1,5.45,72.68,1,1,1,147.5,71.5,20017,250442,3,2,8.3,145.0,2,3000
0,0,0,4,2,6,0,5,0,1,1,2,1,6,3,0,7,0,0,1,4,6,3,3,2,1,5.5,67.51,1,3,2,158.2,77.9,1169,1980,3,0,7.3,188.0,0,2900
0,0,4,8,0,4,0,4,1,2,1,2,0,3,2,0,6,8,0,1,0,2,3,2,1,1,5.5,69.8,0,2,1,153.6,77.6,313,1159,2,2,9.67,149.0,0,4000
3,0,3,1,4,5,0,2,1,2,1,1,0,5,3,0,6,8,0,1,2,4,3,2,2,0,6.0,78.94,1,2,1,156.5,75.2,28423,28420,3,2,7.8,155.0,0,3410
6,0,4,7,3,5,0,2,1,4,1,2,1,5,2,1,1,8,0,1,0,3,3,2,2,0,5.84,80.65,1,2,0,149.7,71.1,27,92,4,2,7.9,160.0,0,3060
6,0,1,7,3,6,0,2,1,4,1,2,0,4,2,1,6,8,0,1,2,5,3,2,2,0,5.84,80.06,1,2,0,148.6,71.2,2629,2644,3,2,7.4,145.0,0,3000
3,0,4,7,4,3,0,5,1,4,1,2,0,5,2,1,0,4,0,1,0,3,3,1,2,0,5.99,77.43,0,3,1,158.6,75.4,16910,151295,4,2,8.0,181.0,2,4000
3,0,3,4,3,3,0,2,1,4,1,1,0,4,2,0,3,2,0,1,2,5,3,1,2,0,6.0,78.11,1,2,1,156.5,76.0,1284,5554,3,2,7.5,152.0,0,3200
0,0,4,4,2,5,0,3,0,4,1,2,1,5,2,1,1,8,0,1,0,5,3,2,2,0,5.5,73.76,1,2,0,148.8,75.8,332,936,4,2,8.6,172.0,0,3000
1,0,5,7,3,5,0,3,1,4,1,2,0,2,1,0,6,8,0,1,2,4,3,1,1,0,5.6,76.28,1,2,1,149.3,70.2,1370,6923,3,2,8.2,154.0,2,3000
1,0,5,7,4,1,0,2,1,4,0,2,1,6,1,1,7,8,0,1,2,5,3,1,2,0,6.0,75.82,1,2,0,159.9,75.7,3069,3080,4,2,8.3,191.0,2,3500
3,0,3,4,2,5,0,2,1,4,1,1,0,5,2,0,1,8,0,1,2,4,3,1,2,0,5.2,68.04,1,2,1,147.9,73.9,50747,275525,3,2,8.9,165.0,0,4000
3,0,4,2,1,4,0,2,1,2,1,2,0,5,3,0,6,8,0,1,0,2,3,2,1,1,6.0,78.77,1,2,1,155.8,75.7,511,3495,3,2,7.8,150.0,0,3360
3,0,4,5,5,6,0,1,1,2,0,0,0,1,2,0,6,8,1,1,0,0,3,1,0,2,2.4,23.6,1,2,2,134.0,56.4,1485,5399,2,4,13.8,58.0,0,2000
1,0,5,4,3,1,0,3,1,4,1,2,0,4,1,0,6,8,0,1,2,5,3,1,1,0,5.6,75.33,1,2,1,149.9,70.8,220,595,3,2,7.7,162.0,2,3000
5,1,0,7,3,6,0,3,0,2,1,2,1,6,3,1,7,0,0,1,1,3,3,3,3,2,6.5,84.89,1,1,2,157.5,77.4,185,901,4,0,7.7,208.0,0,3174
3,0,4,4,2,1,0,1,1,1,1,2,0,4,2,1,1,8,0,1,0,3,3,2,2,0,5.7,75.4,1,2,0,153.8,72.3,1710,2180,3,2,8.3,167.0,0,3000
3,0,4,7,3,1,0,2,1,4,1,2,1,5,2,1,1,8,0,1,0,3,3,2,2,0,6.0,77.63,1,2,0,158.3,75.6,1863,2640,4,2,9.5,186.0,0,3800
5,1,0,7,2,6,0,6,0,2,1,2,1,6,3,1,7,0,0,1,1,3,3,3,1,2,6.1,79.79,1,3,2,150.9,75.7,87,223,4,3,8.3,194.0,0,2942
3,0,5,2,2,5,0,2,1,1,0,2,0,2,1,0,6,2,0,1,2,4,3,1,2,0,5.5,73.13,1,2,1,151.7,75.0,7501,22197,2,2,8.0,167.0,2,3300
3,0,0,4,1,6,0,4,0,1,1,2,1,5,4,0,7,0,0,1,4,6,3,1,1,2,4.0,60.66,0,3,2,123.8,58.6,12486,66162,3,2,7.6,113.0,0,1642
2,0,4,1,4,3,0,3,1,4,1,2,0,5,2,1,0,7,0,1,0,3,3,2,2,0,6.18,82.2,1,3,0,155.5,75.2,16755,111794,4,2,8.8,182.0,2,4000
3,0,3,4,2,3,0,3,1,4,1,1,0,5,2,0,1,3,0,0,2,4,3,1,1,0,5.3,69.0,0,2,1,150.5,74.4,951,4304,1,2,8.0,161.3,0,4000
3,0,4,4,2,4,0,2,1,4,1,2,0,3,5,1,6,8,0,1,0,3,3,2,1,0,6.0,76.68,1,3,1,160.9,75.3,1829,7085,3,1,9.3,197.0,0,5000
3,0,4,7,3,4,0,4,1,4,0,2,0,5,2,0,6,2,0,1,0,4,3,1,2,0,5.5,72.5,1,2,1,151.0,76.0,218020,1268083,2,2,8.4,165.0,2,4100
3,0,0,4,1,4,0,4,0,1,0,2,1,6,3,0,7,0,0,1,4,6,3,1,1,2,4.7,65.47,0,5,2,138.3,67.1,4281,24135,3,0,7.1,143.0,0,1715
6,0,3,4,3,4,0,2,1,4,1,2,0,5,3,0,6,8,0,1,4,4,3,2,1,0,6.22,82.66,1,2,1,155.0,75.0,387,498,4,2,7.7,148.0,0,3260
1,0,5,7,3,5,0,6,0,4,1,2,1,6,5,1,3,7,0,1,2,3,3,3,3,0,5.8,84.57,1,2,0,148.9,68.1,2929,22568,4,2,8.0,155.0,0,3000
3,0,1,7,3,0,0,3,1,4,1,2,0,4,2,0,6,8,0,1,2,5,3,1,2,0,5.9,76.48,1,2,1,156.2,75.2,7864,40785,2,2,7.5,164.0,2,3340
3,0,0,4,1,6,0,5,0,1,1,2,1,6,3,0,7,0,0,1,4,6,3,3,1,1,4.7,65.47,0,3,2,138.3,67.1,6591,29469,3,0,7.1,138.0,0,1960
0,0,4,7,3,0,0,4,0,1,1,2,1,6,2,1,3,3,0,1,0,4,3,3,3,0,5.3,69.19,1,2,0,151.5,73.7,767,979,4,2,7.9,160.0,2,3090
0,0,3,8,0,2,0,2,1,2,0,1,0,3,2,0,6,8,1,1,2,1,3,2,0,1,4.5,61.58,1,2,1,133.6,67.7,1456,6035,3,2,9.5,131.0,0,2150
0,0,5,4,3,4,0,3,0,1,0,2,1,6,5,1,2,2,0,0,2,3,3,3,3,0,5.5,75.94,1,2,1,150.9,72.6,726,3822,3,2,7.7,157.0,2,3600
5,0,3,1,4,6,0,3,1,4,1,2,0,5,2,1,4,4,0,1,2,5,3,2,2,0,6.3,83.84,1,2,1,156.7,74.0,1519,1516,3,2,8.0,169.0,2,3500
3,0,4,7,3,4,0,1,1,4,1,2,0,5,2,1,1,7,0,1,0,3,3,1,1,0,6.4,72.95,1,3,0,174.1,88.7,13273,45792,3,2,7.6,211.0,2,5300
3,0,3,7,3,3,0,2,1,1,1,1,0,4,2,1,1,3,0,1,2,4,3,1,2,0,6.0,71.43,0,2,1,166.4,83.3,407,1686,2,2,9.1,226.0,0,4550
3,0,4,2,1,4,0,1,1,2,1,0,0,1,2,0,6,8,1,0,3,6,0,2,0,2,2.0,71.0,1,2,2,149.0,73.0,16571,79119,0,2,7.7,74.0,0,800
3,0,3,2,1,4,0,3,1,4,1,1,0,3,2,0,6,8,1,1,4,4,3,2,1,1,5.45,73.05,0,2,1,148.0,70.9,2486,16402,2,2,9.6,149.0,0,4000
3,0,3,2,1,5,0,4,1,2,1,1,0,3,2,0,6,8,0,1,4,4,3,2,1,1,5.45,72.95,1,2,1,148.0,71.0,5368,35676,2,2,8.4,138.0,2,3050
6,2,1,1,4,6,0,2,1,1,1,2,1,5,2,1,6,2,0,1,2,6,3,3,2,0,6.1,81.76,1,2,0,155.0,73.9,314,311,3,2,7.8,180.0,0,4000
0,0,0,4,0,6,0,1,0,1,0,2,1,6,3,0,7,0,0,1,4,2,3,2,1,2,4.7,66.14,1,3,2,137.1,67.0,11503,60996,1,2,6.9,129.0,0,1810
0,0,3,4,3,0,0,2,1,1,1,2,0,5,1,0,6,2,0,1,2,4,3,1,2,0,5.7,72.37,1,2,1,156.7,78.8,3640,17237,3,2,8.1,179.0,2,3300
3,0,4,4,3,5,0,3,1,1,0,2,1,3,1,1,2,2,0,0,0,5,3,3,2,0,6.0,75.69,1,2,1,161.7,80.9,1488,4018,3,2,7.9,210.0,2,5000
6,0,4,7,3,5,0,2,1,4,1,2,0,5,2,0,6,8,0,1,0,4,3,2,1,0,6.26,80.64,1,2,1,158.4,76.2,276,2100,3,2,7.7,160.0,2,4000
3,0,4,2,1,4,0,2,1,2,1,2,0,5,2,0,6,7,0,1,0,4,3,2,1,1,5.45,73.61,0,0,1,147.7,70.5,564,562,3,2,8.6,144.0,0,3200
3,0,4,4,3,6,0,3,1,4,1,2,0,5,2,0,2,8,0,1,0,5,3,2,1,0,5.7,77.14,1,2,1,149.3,72.8,2319,11204,3,2,7.9,139.0,0,3000
3,0,3,4,2,5,0,2,0,2,1,1,0,4,3,0,6,8,0,1,2,4,3,1,1,0,5.7,76.21,1,2,1,150.5,73.1,351,1834,3,2,7.7,143.0,0,3180
0,0,3,4,3,3,0,2,1,1,1,2,0,4,2,0,1,4,0,1,2,4,3,1,1,0,5.5,71.65,2,2,1,153.8,75.5,1975,7719,1,2,7.5,154.0,0,3000
3,1,0,7,2,6,0,4,0,1,1,2,1,6,3,1,7,0,0,1,3,6,3,3,2,2,5.5,67.25,1,3,2,158.4,78.1,683,3204,4,0,7.5,202.0,0,2675
1,2,4,7,3,5,0,3,0,4,1,2,1,5,3,1,3,3,0,1,0,6,3,3,3,0,6.3,83.49,1,2,0,158.0,76.7,43,227,4,2,7.9,184.0,0,3430
5,0,1,7,4,1,0,2,1,4,1,2,0,5,2,1,6,1,0,1,2,5,3,2,2,0,6.3,82.98,1,2,0,157.9,74.2,3762,3836,3,2,7.4,176.0,0,3750
3,0,4,7,3,1,0,1,1,4,1,2,0,4,2,1,3,8,0,1,0,4,3,2,2,0,5.99,76.57,1,2,0,158.9,76.1,73,70,4,2,8.4,170.0,2,4000
3,0,3,4,2,0,0,2,1,4,1,1,0,5,2,1,1,10,0,1,2,4,3,1,2,2,5.5,70.95,1,2,1,154.5,75.9,11586,18677,3,2,8.5,180.0,2,4000
3,0,4,2,5,6,0,3,0,2,1,0,0,1,2,0,5,8,1,0,3,6,0,2,0,1,2.4,30.11,1,2,2,118.0,50.2,4403,17021,0,4,13.5,82.6,0,1020
3,0,4,7,4,1,0,1,1,1,1,2,0,4,5,1,1,8,0,1,0,3,3,2,2,0,5.93,74.66,1,2,0,161.0,75.5,97,192,4,2,8.0,168.0,0,3200
5,0,1,7,4,1,0,2,1,4,1,2,0,5,2,0,6,8,0,1,2,6,3,2,2,0,6.5,84.23,1,2,1,160.4,76.6,5179,5197,3,2,7.8,175.0,0,3750
6,0,4,1,4,6,0,1,1,3,1,2,0,5,2,1,1,8,0,1,0,3,3,2,2,0,6.28,84.93,1,2,1,154.4,74.7,289,1386,4,2,7.3,156.2,0,3200
3,0,3,7,3,1,0,2,1,1,1,1,0,4,2,0,3,2,0,1,2,4,3,1,2,0,5.5,72.17,1,2,1,153.3,75.2,9312,50780,1,2,7.3,153.0,0,3200
3,0,4,2,1,4,0,2,1,2,1,2,0,5,2,0,0,8,0,1,0,4,3,1,1,1,5.5,71.36,1,2,1,153.0,76.2,3995,6362,3,2,7.5,150.0,2,3080
3,2,4,1,4,4,0,1,0,4,1,2,0,6,2,1,6,2,0,1,0,3,3,3,2,0,5.99,80.79,0,3,0,151.8,75.5,803,3901,4,2,7.7,185.0,2,3400
5,0,1,1,4,6,0,2,0,4,1,2,0,5,2,1,6,8,0,1,2,5,3,1,2,0,6.3,84.02,1,2,0,157.0,73.7,188,186,3,2,7.3,166.0,0,3750
3,0,4,7,3,1,0,1,1,1,1,2,0,4,2,1,1,8,0,1,0,3,3,2,2,0,5.7,75.4,1,2,0,153.8,72.3,1824,3203,3,2,8.3,167.0,0,3000
3,1,0,7,1,6,0,4,0,1,1,2,1,6,3,1,7,0,0,1,1,6,3,3,1,2,4.7,65.23,1,3,2,138.4,67.3,659,2798,4,0,7.3,148.0,0,1821
3,0,0,4,1,4,0,4,0,1,1,2,1,6,3,0,7,0,0,1,4,6,3,3,2,2,5.5,67.51,0,3,2,158.2,77.9,794,3705,3,0,7.3,192.0,0,2750
0,0,3,4,2,4,0,1,1,2,1,1,0,1,3,0,6,8,0,1,2,4,3,1,1,1,5.2,67.68,1,2,1,149.5,73.5,909,5672,1,2,9.8,170.0,0,5000
3,0,4,4,2,1,0,2,1,4,1,1,0,3,2,0,6,3,0,1,0,4,3,2,2,0,5.0,71.0,0,4,1,149.0,73.0,29,45,3,2,7.7,149.0,0,3000
3,0,4,2,1,2,0,4,1,2,1,0,0,1,2,0,6,8,1,0,3,0,0,1,0,1,2.4,30.26,1,2,1,115.6,51.0,3346,16986,0,2,12.8,149.0,0,1200
3,0,3,2,2,4,0,2,1,2,1,1,0,4,4,0,6,8,0,1,2,4,3,1,1,0,5.2,68.04,1,2,1,148.1,73.8,149,936,1,2,7.6,137.0,0,3010
3,0,4,4,2,4,0,4,1,2,1,2,0,5,2,0,6,10,0,1,0,4,3,1,1,1,5.0,69.86,1,3,1,140.4,70.1,63890,552047,2,2,8.3,137.0,2,3000
0,0,5,4,2,4,0,4,0,1,0,2,1,6,1,1,2,2,0,0,2,6,3,3,3,0,5.1,71.82,1,2,2,142.1,70.1,418,1417,2,2,7.0,132.0,2,2600
3,0,3,2,1,5,0,3,1,2,1,2,0,4,2,0,0,8,0,1,2,4,3,2,1,0,5.2,69.58,1,2,1,146.2,68.6,53,76,4,2,8.7,138.3,0,2990
3,0,4,2,1,6,0,2,1,2,1,0,0,1,2,0,5,8,1,0,3,6,0,2,0,1,2.4,30.11,1,2,3,118.0,50.2,2986,15173,0,4,13.5,81.0,0,1020
3,0,3,2,1,5,0,2,1,2,1,2,0,4,3,0,6,8,0,1,2,4,3,2,1,0,5.7,76.21,1,2,1,150.5,73.1,11,44,3,2,7.7,143.0,0,3180
3,0,1,7,3,0,0,3,1,4,1,1,0,5,2,0,6,2,0,1,2,4,3,2,2,0,5.65,75.88,1,2,1,151.0,71.9,10921,68060,3,2,7.6,149.0,2,3000
3,0,7,2,1,5,0,2,1,2,1,2,0,4,3,0,6,8,0,1,2,4,3,2,1,1,5.45,73.64,1,2,1,146.2,71.2,50,50,2,1,9.7,150.0,0,3000
3,0,4,7,4,1,0,2,1,1,0,2,1,5,1,1,6,2,0,1,0,5,3,1,2,0,6.0,75.32,1,2,0,162.9,80.7,988,4183,3,2,6.9,188.0,2,4000
3,0,4,2,5,2,0,2,1,2,0,0,0,1,2,0,5,8,1,0,3,6,0,1,0,2,2.8,33.3,1,2,2,126.8,57.5,3679,19774,0,2,11.9,105.0,0,1200
